               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.030185,            0.019741,           0.0024521,             0.85987,             0.74577,             0.80133,             0.32945,            0.042646,            0.025881,           0.0082298,           0.0088579,           0.0088579,           0.0088579
                  76,             0.03051,            0.020086,           0.0024499,             0.83163,             0.74778,             0.79207,             0.31752,             0.04302,            0.026488,           0.0083487,           0.0088284,           0.0088284,           0.0088284
                  77,             0.03076,            0.020291,           0.0025032,             0.82839,             0.74223,             0.80054,              0.3246,            0.042655,            0.025046,           0.0083651,           0.0087987,           0.0087987,           0.0087987
                  78,            0.030153,            0.019927,           0.0024115,             0.77738,             0.78455,             0.77648,             0.31579,            0.043261,             0.02597,           0.0081726,           0.0087686,           0.0087686,           0.0087686
                  79,            0.029988,            0.019015,            0.002472,             0.82804,             0.76555,             0.79139,             0.32611,            0.042902,            0.026209,           0.0079112,           0.0087382,           0.0087382,           0.0087382
                  80,            0.030215,            0.020437,           0.0022039,             0.79991,             0.77881,              0.7944,             0.32648,            0.043037,            0.025663,           0.0081864,           0.0087075,           0.0087075,           0.0087075
                  81,            0.029215,            0.018494,           0.0022067,             0.79979,             0.76528,             0.77496,             0.31617,            0.043411,            0.025969,           0.0091609,           0.0086765,           0.0086765,           0.0086765
                  82,            0.029387,            0.020065,           0.0021826,             0.81611,             0.75844,             0.79947,             0.31867,            0.042928,            0.026024,           0.0088684,           0.0086452,           0.0086452,           0.0086452
                  83,            0.029811,            0.018764,            0.002206,             0.80399,             0.77141,             0.79078,             0.31732,            0.043271,             0.02614,            0.008204,           0.0086137,           0.0086137,           0.0086137
                  84,             0.02958,            0.020427,            0.002384,             0.81367,             0.76684,             0.79708,             0.31881,            0.042663,            0.026368,            0.008841,           0.0085818,           0.0085818,           0.0085818
                  85,            0.028907,            0.019767,           0.0023581,             0.81632,             0.75692,             0.79127,             0.32504,            0.042534,             0.02604,           0.0083958,           0.0085497,           0.0085497,           0.0085497
                  86,            0.028064,            0.018995,           0.0020425,             0.82217,             0.74746,             0.78703,             0.31845,            0.043355,            0.026577,            0.009179,           0.0085173,           0.0085173,           0.0085173
                  87,            0.028538,             0.01893,           0.0021453,             0.83366,             0.75163,              0.7904,             0.31238,            0.043306,            0.026287,           0.0095689,           0.0084846,           0.0084846,           0.0084846
                  88,            0.028664,            0.019332,           0.0025408,              0.8097,             0.76679,             0.79477,              0.3242,            0.042763,            0.026316,           0.0084465,           0.0084516,           0.0084516,           0.0084516
                  89,            0.028752,            0.019021,           0.0022321,             0.80444,             0.78107,             0.80063,             0.32031,            0.042781,             0.02565,           0.0085332,           0.0084184,           0.0084184,           0.0084184
                  90,            0.028192,            0.019584,           0.0023202,             0.82927,              0.7601,             0.79827,             0.33506,            0.042317,            0.027524,            0.008335,           0.0083849,           0.0083849,           0.0083849
                  91,            0.028087,            0.019386,           0.0019522,              0.8166,             0.77278,              0.7937,             0.31684,            0.043877,            0.026517,           0.0077056,           0.0083511,           0.0083511,           0.0083511
                  92,            0.028453,            0.019775,           0.0019303,             0.80675,             0.74888,             0.79939,             0.33588,            0.042272,            0.026745,           0.0086846,           0.0083171,           0.0083171,           0.0083171
                  93,            0.028115,            0.019626,           0.0020232,             0.81083,             0.77845,             0.80305,             0.33278,            0.042748,            0.026628,           0.0085782,           0.0082829,           0.0082829,           0.0082829
                  94,            0.028143,            0.019192,           0.0018529,             0.80743,             0.78113,              0.8066,             0.33841,            0.042355,            0.025892,           0.0084452,           0.0082483,           0.0082483,           0.0082483
                  95,            0.027866,            0.019141,           0.0021026,             0.81901,              0.7713,              0.8009,              0.3301,            0.042877,            0.026989,           0.0087778,           0.0082136,           0.0082136,           0.0082136
                  96,            0.028903,            0.018712,           0.0017206,             0.82103,             0.78258,             0.79883,             0.32179,            0.043219,            0.027058,           0.0078758,           0.0081786,           0.0081786,           0.0081786
                  97,            0.027488,            0.018461,           0.0017799,             0.82995,             0.75859,             0.79589,             0.32858,             0.04306,            0.027113,           0.0082916,           0.0081433,           0.0081433,           0.0081433
                  98,            0.027606,            0.018448,           0.0021228,             0.84241,             0.75253,             0.80648,             0.33188,            0.042753,             0.02678,           0.0083243,           0.0081078,           0.0081078,           0.0081078
                  99,            0.026764,            0.018724,           0.0021388,             0.80198,             0.79146,             0.80202,             0.32902,            0.042196,             0.02685,           0.0088989,           0.0080721,           0.0080721,           0.0080721
                 100,             0.02795,            0.019012,           0.0019964,             0.82061,             0.78007,             0.80939,             0.33582,            0.042821,            0.026819,           0.0079169,           0.0080362,           0.0080362,           0.0080362
                 101,            0.027022,            0.017856,           0.0019522,             0.82499,             0.76865,             0.80564,              0.3467,            0.042381,            0.028464,           0.0083123,               0.008,               0.008,               0.008
                 102,            0.027225,            0.018207,           0.0017397,             0.83085,              0.7551,             0.79433,             0.33187,            0.042142,             0.02861,           0.0097193,           0.0079636,           0.0079636,           0.0079636
                 103,            0.026572,            0.018504,           0.0020417,             0.80558,             0.76095,             0.80283,             0.33994,            0.043047,            0.026888,           0.0085276,            0.007927,            0.007927,            0.007927
                 104,            0.026668,            0.017858,           0.0017855,             0.81895,             0.78335,             0.81232,             0.32931,            0.042644,            0.026397,           0.0084633,           0.0078902,           0.0078902,           0.0078902
                 105,            0.027041,            0.018496,           0.0015398,             0.81333,             0.77251,             0.81546,              0.3396,            0.042874,            0.027261,           0.0090371,           0.0078532,           0.0078532,           0.0078532
                 106,            0.026688,            0.018536,           0.0018513,             0.83867,             0.74037,             0.80089,             0.33497,            0.042568,            0.027435,           0.0087822,            0.007816,            0.007816,            0.007816
                 107,            0.026326,            0.018107,           0.0016978,              0.8013,             0.75653,             0.77607,             0.32584,            0.043318,            0.027515,            0.009326,           0.0077785,           0.0077785,           0.0077785
                 108,             0.02689,            0.018208,           0.0020045,             0.81421,             0.76387,             0.79279,             0.33517,            0.043014,            0.026711,           0.0092186,           0.0077409,           0.0077409,           0.0077409
                 109,            0.026089,            0.018351,           0.0017435,             0.79946,             0.77595,             0.80424,             0.32575,            0.042984,            0.027273,            0.010094,           0.0077031,           0.0077031,           0.0077031
                 110,            0.026854,            0.018199,           0.0019044,             0.83558,             0.74355,             0.80376,             0.34232,            0.042401,            0.027955,             0.01046,           0.0076651,           0.0076651,           0.0076651
                 111,             0.02565,            0.017741,            0.001885,             0.81968,             0.74478,             0.77934,             0.33199,             0.04304,            0.027539,           0.0099728,           0.0076269,           0.0076269,           0.0076269
                 112,            0.025938,            0.017719,            0.001878,             0.84122,             0.73956,             0.80853,             0.34292,             0.04317,            0.027334,           0.0097711,           0.0075886,           0.0075886,           0.0075886
                 113,            0.026631,            0.018212,           0.0018127,             0.77567,             0.80512,             0.80335,             0.33048,            0.042921,             0.02734,           0.0084419,           0.0075501,           0.0075501,           0.0075501
                 114,            0.026377,             0.01851,           0.0015318,             0.83682,             0.73438,             0.79646,             0.32178,             0.04316,            0.026796,           0.0086808,           0.0075114,           0.0075114,           0.0075114
                 115,            0.025507,            0.018132,           0.0013773,             0.81924,             0.76339,             0.80152,             0.33332,            0.042525,            0.028286,           0.0085874,           0.0074725,           0.0074725,           0.0074725
                 116,            0.025312,             0.01785,           0.0016722,              0.8269,             0.74151,             0.79664,               0.331,            0.042695,            0.027972,           0.0085434,           0.0074335,           0.0074335,           0.0074335
                 117,            0.025446,            0.017671,           0.0014258,             0.81764,             0.76262,             0.79921,             0.33411,            0.042621,            0.028026,           0.0090786,           0.0073943,           0.0073943,           0.0073943
                 118,            0.025028,            0.017702,           0.0017658,              0.8238,                0.77,             0.80832,             0.33899,            0.042621,            0.028154,            0.008955,            0.007355,            0.007355,            0.007355
                 119,            0.025428,            0.018275,           0.0019488,             0.82264,             0.76461,             0.80189,             0.33332,            0.042962,            0.028265,           0.0089343,           0.0073155,           0.0073155,           0.0073155
                 120,            0.025128,            0.017359,           0.0015164,             0.81667,             0.77199,             0.80358,             0.32432,             0.04344,            0.028228,           0.0098016,           0.0072758,           0.0072758,           0.0072758
                 121,            0.025171,            0.017664,           0.0015749,             0.82712,             0.75557,             0.79807,             0.32705,            0.042544,            0.027967,            0.010108,           0.0072361,           0.0072361,           0.0072361
                 122,            0.024435,            0.017015,            0.001803,             0.83578,             0.77179,             0.81171,             0.33751,            0.042651,            0.028061,           0.0087748,           0.0071962,           0.0071962,           0.0071962
                 123,            0.024362,            0.016771,            0.001788,              0.8318,             0.76208,             0.80228,             0.33244,            0.042567,            0.028082,           0.0088384,           0.0071561,           0.0071561,           0.0071561
                 124,            0.024487,            0.017145,           0.0014478,             0.80809,             0.75346,             0.78549,             0.32503,            0.042833,            0.028884,            0.010254,            0.007116,            0.007116,            0.007116
                 125,            0.024115,            0.017148,           0.0017314,             0.81841,             0.74247,             0.78404,             0.31946,            0.042672,            0.029478,           0.0099551,           0.0070757,           0.0070757,           0.0070757
